Source,Target,Result
R C4 Radikulopati,R Axel impingement,True
R C4 Radikulopati,R Axelbesvär,True
R C4 Radikulopati,R Skulderbesvär,True
DLS C4-C5,L C5 Radikulopati,True
DLS C4-C5,R C5 Radikulopati,True
L C5 Radikulopati,L Nackbesvär,True
L C5 Radikulopati,Nackbesvär,True
L C5 Radikulopati,L Axel impingement,True
L C5 Radikulopati,L Axelbesvär,True
L C5 Radikulopati,L Skulderbesvär,True
L C5 Radikulopati,L Övre armsbesvär,True
L C5 Radikulopati,L Övre armbågsbesvär,True
L C5 Radikulopati,Interskapulära besvär,True
L C5 Radikulopati,L Interskapulära besvär,True
L C5 Radikulopati,L Laterala armbågsbesvär,True
L C5 Radikulopati,L Laterala armsbesvär,True
L C5 Radikulopati,L Armbågsbesvär,True
L C5 Radikulopati,L Armbesvär,True
R C5 Radikulopati,Nackbesvär,True
R C5 Radikulopati,R Nackbesvär,True
R C5 Radikulopati,R Främre Axelbesvär,True
R C5 Radikulopati,R Axel impingement,True
R C5 Radikulopati,R Axelbesvär,True
R C5 Radikulopati,R Skulderbesvär,True
R C5 Radikulopati,Interskapulära besvär,True
R C5 Radikulopati,R Interskapulära besvär,True
R C5 Radikulopati,R Laterala armbågsbesvär,True
R C5 Radikulopati,R Armbågsbesvär,True
DLS C5-C6,L C6 Radikulopati,True
DLS C5-C6,R C6 Radikulopati,True
L C6 Radikulopati,L Nackbesvär,True
L C6 Radikulopati,Nackbesvär,True
L C6 Radikulopati,L Axel impingement,True
L C6 Radikulopati,L Axelbesvär,True
L C6 Radikulopati,L Skulderbesvär,True
L C6 Radikulopati,Interskapulära besvär,True
L C6 Radikulopati,L Interskapulära besvär,True
L C6 Radikulopati,L Laterala armbågsbesvär,True
L C6 Radikulopati,L Laterala armsbesvär,True
L C6 Radikulopati,L Armbågsbesvär,True
L C6 Radikulopati,L Armbesvär,True
L C6 Radikulopati,L Tumbesvär,True
L C6 Radikulopati,L Handledsbesvär,True
L C6 Radikulopati,L Under armsbesvär,True
L C6 Radikulopati,L Handbesvär,True
L C6 Radikulopati,L Armvecksbesvär,True
R C6 Radikulopati,Nackbesvär,True
R C6 Radikulopati,R Nackbesvär,True
R C6 Radikulopati,R Främre Axelbesvär,True
R C6 Radikulopati,R Axel impingement,True
R C6 Radikulopati,R Axelbesvär,True
R C6 Radikulopati,R Skulderbesvär,True
R C6 Radikulopati,Interskapulära besvär,True
R C6 Radikulopati,R Interskapulära besvär,True
R C6 Radikulopati,R Laterala armbågsbesvär,True
R C6 Radikulopati,R Armbågsbesvär,True
R C6 Radikulopati,R Tumbesvär,True
R C6 Radikulopati,R Handledsbesvär,True
R C6 Radikulopati,R Under armsbesvär,True
R C6 Radikulopati,R Handbesvär,True
R C6 Radikulopati,R Armbesvär,True
R C6 Radikulopati,R Armvecksbesvär,True
DLS C6-C7,L C7 Radikulopati,True
DLS C6-C7,R C7 Radikulopati,True
L C7 Radikulopati,L Nackbesvär,True
L C7 Radikulopati,Nackbesvär,True
L C7 Radikulopati,L Axelbesvär,True
L C7 Radikulopati,L Skulderbesvär,True
L C7 Radikulopati,L Armbågsbesvär,True
L C7 Radikulopati,L Armbesvär,True
L C7 Radikulopati,L Handledsbesvär,True
L C7 Radikulopati,L Under armsbesvär,True
L C7 Radikulopati,L Handbesvär,True
L C7 Radikulopati,L Armvecksbesvär,True
L C7 Radikulopati,L Mediala armbågsbesvär,True
L C7 Radikulopati,L Fingerbesvär,True
R C7 Radikulopati,Nackbesvär,True
R C7 Radikulopati,R Nackbesvär,True
R C7 Radikulopati,R Axelbesvär,True
R C7 Radikulopati,R Skulderbesvär,True
R C7 Radikulopati,R Armbågsbesvär,True
R C7 Radikulopati,R Handledsbesvär,True
R C7 Radikulopati,R Under armsbesvär,True
R C7 Radikulopati,R Handbesvär,True
R C7 Radikulopati,R Armbesvär,True
R C7 Radikulopati,R Armvecksbesvär,True
R C7 Radikulopati,R Mediala armbågsbesvär,True
R C7 Radikulopati,R Fingerbesvär,True
DLS C7-C8,L C8 Radikulopati,True
DLS C7-C8,R C8 Radikulopati,True
L C8 Radikulopati,L Axelbesvär,True
L C8 Radikulopati,L Skulderbesvär,True
L C8 Radikulopati,L Armbågsbesvär,True
L C8 Radikulopati,L Armbesvär,True
L C8 Radikulopati,L Under armsbesvär,True
L C8 Radikulopati,L Handbesvär,True
L C8 Radikulopati,L Armvecksbesvär,True
L C8 Radikulopati,L Mediala armbågsbesvär,True
L C8 Radikulopati,L Fingerbesvär,True
L C8 Radikulopati,L Lillfingerbesvär,True
R C8 Radikulopati,R Axelbesvär,True
R C8 Radikulopati,R Skulderbesvär,True
R C8 Radikulopati,R Armbågsbesvär,True
R C8 Radikulopati,R Under armsbesvär,True
R C8 Radikulopati,R Handbesvär,True
R C8 Radikulopati,R Armbesvär,True
R C8 Radikulopati,R Armvecksbesvär,True
R C8 Radikulopati,R Mediala armbågsbesvär,True
R C8 Radikulopati,R Fingerbesvär,True
R C8 Radikulopati,R Lillfingerbesvär,True
DLS C8-T1,L T1 Radikulopati,True
DLS C8-T1,R T1 Radikulopati,True
L T1 Radikulopati,L Armbesvär,True
L T1 Radikulopati,L Armvecksbesvär,True
L T1 Radikulopati,Bröstryggsbesvär,True
R T1 Radikulopati,R Armbesvär,True
R T1 Radikulopati,R Armvecksbesvär,True
R T1 Radikulopati,Bröstryggsbesvär,True
DLS T1-T2,L T2 Radikulopati,True
DLS T1-T2,R T2 Radikulopati,True
L T2 Radikulopati,Bröstryggsbesvär,True
R T2 Radikulopati,Bröstryggsbesvär,True
DLS T2-T3,L T3 Radikulopati,True
DLS T2-T3,R T3 Radikulopati,True
L T3 Radikulopati,Bröstryggsbesvär,True
L T3 Radikulopati,Bröstbesvär,True
L T3 Radikulopati,L Bröstbesvär,True
L T3 Radikulopati,Torakal Dysfunktion,True
R T3 Radikulopati,Bröstryggsbesvär,True
R T3 Radikulopati,Bröstbesvär,True
R T3 Radikulopati,R Bröstbesvär,True
R T3 Radikulopati,Torakal Dysfunktion,True
DLS T3-T4,L T4 Radikulopati,True
DLS T3-T4,R T4 Radikulopati,True
L T4 Radikulopati,Bröstryggsbesvär,True
L T4 Radikulopati,Bröstbesvär,True
L T4 Radikulopati,L Bröstbesvär,True
L T4 Radikulopati,Torakal Dysfunktion,True
R T4 Radikulopati,Bröstryggsbesvär,True
R T4 Radikulopati,Bröstbesvär,True
R T4 Radikulopati,R Bröstbesvär,True
R T4 Radikulopati,Torakal Dysfunktion,True
DLS T4-T5,L T5 Radikulopati,True
DLS T4-T5,R T5 Radikulopati,True
L T5 Radikulopati,Bröstryggsbesvär,True
L T5 Radikulopati,Bröstbesvär,True
L T5 Radikulopati,L Bröstbesvär,True
L T5 Radikulopati,Torakal Dysfunktion,True
R T5 Radikulopati,Bröstryggsbesvär,True
R T5 Radikulopati,Bröstbesvär,True
R T5 Radikulopati,R Bröstbesvär,True
R T5 Radikulopati,Torakal Dysfunktion,True
DLS T5-T6,L T6 Radikulopati,True
DLS T5-T6,R T6 Radikulopati,True
L T6 Radikulopati,Bröstryggsbesvär,True
L T6 Radikulopati,Torakal Dysfunktion,True
L T6 Radikulopati,Övre bukbesvär,True
L T6 Radikulopati,Laterala bukbesvär,True
L T6 Radikulopati,Bukbesvär,True
R T6 Radikulopati,Bröstryggsbesvär,True
R T6 Radikulopati,Torakal Dysfunktion,True
R T6 Radikulopati,Övre bukbesvär,True
R T6 Radikulopati,Bukbesvär,True
DLS T6-T7,L T7 Radikulopati,True
DLS T6-T7,R T7 Radikulopati,True
L T7 Radikulopati,Bröstryggsbesvär,True
L T7 Radikulopati,Torakal Dysfunktion,True
L T7 Radikulopati,Övre bukbesvär,True
L T7 Radikulopati,Laterala bukbesvär,True
L T7 Radikulopati,Bukbesvär,True
R T7 Radikulopati,Bröstryggsbesvär,True
R T7 Radikulopati,Torakal Dysfunktion,True
R T7 Radikulopati,Övre bukbesvär,True
R T7 Radikulopati,Bukbesvär,True
DLS T7-T8,L T8 Radikulopati,True
DLS T7-T8,R T8 Radikulopati,True
L T8 Radikulopati,Bröstryggsbesvär,True
L T8 Radikulopati,Övre bukbesvär,True
L T8 Radikulopati,Laterala bukbesvär,True
L T8 Radikulopati,Bukbesvär,True
R T8 Radikulopati,Bröstryggsbesvär,True
R T8 Radikulopati,Övre bukbesvär,True
R T8 Radikulopati,Bukbesvär,True
DLS T8-T9,L T9 Radikulopati,True
DLS T8-T9,R T9 Radikulopati,True
L T9 Radikulopati,Bröstryggsbesvär,True
L T9 Radikulopati,Laterala bukbesvär,True
L T9 Radikulopati,Bukbesvär,True
L T9 Radikulopati,L Nedre bukbesvär,True
L T9 Radikulopati,Nedre bukbesvär,True
R T9 Radikulopati,Bröstryggsbesvär,True
R T9 Radikulopati,Bukbesvär,True
R T9 Radikulopati,Nedre bukbesvär,True
DLS T9-T10,L T10 Radikulopati,True
DLS T9-T10,R T10 Radikulopati,True
L T10 Radikulopati,IBS,True
L T10 Radikulopati,Bröstryggsbesvär,True
L T10 Radikulopati,Laterala bukbesvär,True
L T10 Radikulopati,Bukbesvär,True
L T10 Radikulopati,L Nedre bukbesvär,True
L T10 Radikulopati,Nedre bukbesvär,True
R T10 Radikulopati,IBS,True
R T10 Radikulopati,Bröstryggsbesvär,True
R T10 Radikulopati,Bukbesvär,True
R T10 Radikulopati,Nedre bukbesvär,True
DLS T10-T11,L T11 Radikulopati,True
DLS T10-T11,R T11 Radikulopati,True
L T11 Radikulopati,IBS,True
L T11 Radikulopati,Laterala bukbesvär,True
L T11 Radikulopati,Bukbesvär,True
L T11 Radikulopati,L Nedre bukbesvär,True
L T11 Radikulopati,Nedre bukbesvär,True
R T11 Radikulopati,IBS,True
R T11 Radikulopati,Bukbesvär,True
R T11 Radikulopati,Nedre bukbesvär,True
DLS T11-T12,L T12 Radikulopati,True
DLS T11-T12,R T12 Radikulopati,True
L T12 Radikulopati,IBS,True
L T12 Radikulopati,Laterala bukbesvär,True
L T12 Radikulopati,Bukbesvär,True
L T12 Radikulopati,L Nedre bukbesvär,True
L T12 Radikulopati,Nedre bukbesvär,True
R T12 Radikulopati,IBS,True
R T12 Radikulopati,Bukbesvär,True
R T12 Radikulopati,Nedre bukbesvär,True
DLS T12-L1,L L1 Radikulopati,True
DLS T12-L1,R L1 Radikulopati,True
L L1 Radikulopati,IBS,True
L L1 Radikulopati,L Ljumskbesvär,True
L L1 Radikulopati,L Mediala ljumskbesvär,True
L L1 Radikulopati,L Laterala ljumskbesvär,True
L L1 Radikulopati,Centrala Ljumskbesvär,True
L L1 Radikulopati,L Adduktortendalgi,True
L L1 Radikulopati,Laterala bukbesvär,True
L L1 Radikulopati,Bukbesvär,True
L L1 Radikulopati,L Nedre bukbesvär,True
L L1 Radikulopati,Nedre bukbesvär,True
R L1 Radikulopati,IBS,True
R L1 Radikulopati,Centrala Ljumskbesvär,True
R L1 Radikulopati,R Laterala ljumskbesvär,True
R L1 Radikulopati,R Ljumskbesvär,True
R L1 Radikulopati,R Adduktortendalgi,True
R L1 Radikulopati,Bukbesvär,True
R L1 Radikulopati,Nedre bukbesvär,True
DLS L1-L2,L L2 Radikulopati,True
DLS L1-L2,R L2 Radikulopati,True
L L2 Radikulopati,IBS,True
L L2 Radikulopati,L Ljumskbesvär,True
L L2 Radikulopati,L Mediala ljumskbesvär,True
L L2 Radikulopati,L Laterala ljumskbesvär,True
L L2 Radikulopati,Centrala Ljumskbesvär,True
L L2 Radikulopati,L Adduktortendalgi,True
L L2 Radikulopati,L Höftbesvär,True
L L2 Radikulopati,L Bakhuvudvärk,True
L L2 Radikulopati,L Lumbago,True
L L2 Radikulopati,Lumbago,True
L L2 Radikulopati,Laterala bukbesvär,True
L L2 Radikulopati,Bukbesvär,True
L L2 Radikulopati,L Nedre bukbesvär,True
L L2 Radikulopati,Nedre bukbesvär,True
R L2 Radikulopati,IBS,True
R L2 Radikulopati,Centrala Ljumskbesvär,True
R L2 Radikulopati,R Laterala ljumskbesvär,True
R L2 Radikulopati,R Ljumskbesvär,True
R L2 Radikulopati,R Adduktortendalgi,True
R L2 Radikulopati,Ryggsbesvär,True
R L2 Radikulopati,R Lumbago,True
R L2 Radikulopati,Bukbesvär,True
R L2 Radikulopati,Nedre bukbesvär,True
DLS L2-L3,L L3 Radikulopati,True
DLS L2-L3,R L3 Radikulopati,True
L L3 Radikulopati,L Höftbesvär,True
L L3 Radikulopati,L Bakhuvudvärk,True
L L3 Radikulopati,L Lumbago,True
L L3 Radikulopati,Lumbago,True
L L3 Radikulopati,L Främre lårbesvär,True
L L3 Radikulopati,L Benbesvär,True
L L3 Radikulopati,L Lårbesvär,True
R L3 Radikulopati,Ryggsbesvär,True
R L3 Radikulopati,R Lumbago,True
R L3 Radikulopati,R Främre lårbesvär,True
R L3 Radikulopati,R Lårbesvär,True
R L3 Radikulopati,R Benbesvär,True
DLS L3-L4,L L4 Radikulopati,True
DLS L3-L4,R L4 Radikulopati,True
L L4 Radikulopati,L Bakhuvudvärk,True
L L4 Radikulopati,L Lumbago,True
L L4 Radikulopati,Lumbago,True
L L4 Radikulopati,L Främre lårbesvär,True
L L4 Radikulopati,L Benbesvär,True
L L4 Radikulopati,L Lårbesvär,True
L L4 Radikulopati,L PFS,True
L L4 Radikulopati,L Höftkamsbesvär,True
L L4 Radikulopati,L Mediala knäledsbesvär,True
L L4 Radikulopati,L Främre knäbesvär,True
L L4 Radikulopati,L Tibiaperialgi,True
L L4 Radikulopati,L Laterala vadbesvär,True
L L4 Radikulopati,L Knäbesvär,True
R L4 Radikulopati,R PFS,True
R L4 Radikulopati,Ryggsbesvär,True
R L4 Radikulopati,R Lumbago,True
R L4 Radikulopati,R Främre lårbesvär,True
R L4 Radikulopati,R Lårbesvär,True
R L4 Radikulopati,R Benbesvär,True
R L4 Radikulopati,R Mediala vadbesvär,True
R L4 Radikulopati,R Höftbesvär,True
R L4 Radikulopati,R Höftkamsbesvär,True
R L4 Radikulopati,R Mediala knäledsbesvär,True
R L4 Radikulopati,R Främre knäbesvär,True
R L4 Radikulopati,R Tibiaperialgi,True
R L4 Radikulopati,R Knäbesvär,True
DLS L4-L5,L L5 Radikulopati,True
DLS L4-L5,R L5 Radikulopati,True
L L5 Radikulopati,L Bakhuvudvärk,True
L L5 Radikulopati,L Lumbago,True
L L5 Radikulopati,Lumbago,True
L L5 Radikulopati,L Benbesvär,True
L L5 Radikulopati,L Lårbesvär,True
L L5 Radikulopati,L PFS,True
L L5 Radikulopati,L Höftkamsbesvär,True
L L5 Radikulopati,L Mediala knäledsbesvär,True
L L5 Radikulopati,L Främre knäbesvär,True
L L5 Radikulopati,L Tibiaperialgi,True
L L5 Radikulopati,L Laterala vadbesvär,True
L L5 Radikulopati,L Knäbesvär,True
L L5 Radikulopati,L Tåledbesvär,True
L L5 Radikulopati,L Stortårbesvär,True
L L5 Radikulopati,L Fotbesvär,True
L L5 Radikulopati,L Fotledsbesvär,True
L L5 Radikulopati,L Fotvalvsbesvär,True
L L5 Radikulopati,L Ischias,True
L L5 Radikulopati,L Skinkbesvär,True
L L5 Radikulopati,L Vadbesvär,True
L L5 Radikulopati,L Tårbesvär,True
R L5 Radikulopati,R PFS,True
R L5 Radikulopati,Ryggsbesvär,True
R L5 Radikulopati,R Lumbago,True
R L5 Radikulopati,R Lårbesvär,True
R L5 Radikulopati,R Benbesvär,True
R L5 Radikulopati,R Höftbesvär,True
R L5 Radikulopati,R Höftkamsbesvär,True
R L5 Radikulopati,R Mediala knäledsbesvär,True
R L5 Radikulopati,R Främre knäbesvär,True
R L5 Radikulopati,R Tibiaperialgi,True
R L5 Radikulopati,R Knäbesvär,True
R L5 Radikulopati,R Stortårbesvär,True
R L5 Radikulopati,R Fotledsbesvär,True
R L5 Radikulopati,R Fotvalvsbesvär,True
R L5 Radikulopati,R Mortonbesvär,True
R L5 Radikulopati,R Tåledbesvär,True
R L5 Radikulopati,R Ischias,True
R L5 Radikulopati,R Skinkbesvär,True
R L5 Radikulopati,R Fotbesvär,True
R L5 Radikulopati,R Tårbesvär,True
R L5 Radikulopati,R Vadbesvär,True
DLS L5-S1,L S1 Radikulopati,True
DLS L5-S1,R S1 Radikulopati,True
L S1 Radikulopati,L Adduktortendalgi,True
L S1 Radikulopati,L Bakhuvudvärk,True
L S1 Radikulopati,L Lumbago,True
L S1 Radikulopati,Lumbago,True
L S1 Radikulopati,L Benbesvär,True
L S1 Radikulopati,L Lårbesvär,True
L S1 Radikulopati,L Laterala vadbesvär,True
L S1 Radikulopati,L Knäbesvär,True
L S1 Radikulopati,L Ischias,True
L S1 Radikulopati,L Skinkbesvär,True
L S1 Radikulopati,L Vadbesvär,True
L S1 Radikulopati,L Tårbesvär,True
L S1 Radikulopati,L Dorsala knäledsbesvär,True
L S1 Radikulopati,L Laterala knäbesvär,True
L S1 Radikulopati,L Lilltåbesvär,True
L S1 Radikulopati,L Laterala Fotbesvär,True
L S1 Radikulopati,Hälbesvär,True
L S1 Radikulopati,L Hälbesvär,True
L S1 Radikulopati,Coccydyni,True
L S1 Radikulopati,L Bakre lårbesvär,True
L S1 Radikulopati,L Achillesbesvär,True
L S1 Radikulopati,L Achillestendalgi,True
L S1 Radikulopati,L Achillodyni,True
R S1 Radikulopati,R Adduktortendalgi,True
R S1 Radikulopati,Ryggsbesvär,True
R S1 Radikulopati,R Lumbago,True
R S1 Radikulopati,R Lårbesvär,True
R S1 Radikulopati,R Benbesvär,True
R S1 Radikulopati,R Knäbesvär,True
R S1 Radikulopati,R Ischias,True
R S1 Radikulopati,R Skinkbesvär,True
R S1 Radikulopati,R Fotbesvär,True
R S1 Radikulopati,R Tårbesvär,True
R S1 Radikulopati,R Vadbesvär,True
R S1 Radikulopati,R Dorsala knäledsbesvär,True
R S1 Radikulopati,R Laterala knäbesvär,True
R S1 Radikulopati,R Laterala Fotbesvär,True
R S1 Radikulopati,R Hälbesvär,True
R S1 Radikulopati,Hälbesvär,True
R S1 Radikulopati,Coccydyni,True
R S1 Radikulopati,R Bakre lårbesvär,True
R S1 Radikulopati,R Achillesbesvär,True
R S1 Radikulopati,R Achillestendalgi,True
R S1 Radikulopati,R Achillodyni,True
DLS S1-S2,L S2 Radikulopati,True
DLS S1-S2,R S2 Radikulopati,True
L S2 Radikulopati,L Adduktortendalgi,True
L S2 Radikulopati,L Ischias,True
R S2 Radikulopati,R Adduktortendalgi,True
R S2 Radikulopati,R Ischias,True
Kraniocervikal ledskada,L C2 Radikulopati,True
Kraniocervikal ledskada,L C3 Radikulopati,True
Kraniocervikal ledskada,L C4 Radikulopati,True
Kraniocervikal ledskada,R C2 Radikulopati,True
Kraniocervikal ledskada,R C3 Radikulopati,True
Kraniocervikal ledskada,R C4 Radikulopati,True
 
