Confounder,Target1,Target2
L L5 Radikulopati,L Lumbago,L Lårbesvär
R L5 Radikulopati,R Höftkamsbesvär,R Tåledbesvär
R C7 Radikulopati,R Nackbesvär,R Armbågsbesvär
DLS T9-T10,L T10 Radikulopati,R T10 Radikulopati
R S1 Radikulopati,Ryggsbesvär,R Ischias
L L5 Radikulopati,L Fotbesvär,L Skinkbesvär
R S1 Radikulopati,R Skinkbesvär,Hälbesvär
R L5 Radikulopati,R PFS,R Tåledbesvär
R C4 Radikulopati,R Nyckelbensbesvär,R Axel impingement
R L5 Radikulopati,R Främre knäbesvär,R Tåledbesvär
R T3 Radikulopati,Bröstbesvär,R Bröstbesvär
R S1 Radikulopati,R Fotbesvär,R Achillodyni
R S2 Radikulopati,R Adduktortendalgi,R Ischias
L L5 Radikulopati,L Knäbesvär,L Stortårbesvär
L L4 Radikulopati,L Främre lårbesvär,L Knäbesvär
L L5 Radikulopati,L Fotledsbesvär,L Fotvalvsbesvär
L C2 Radikulopati,Nackbesvär,Pannhuvudvärk
L L1 Radikulopati,L Ljumskbesvär,L Laterala ljumskbesvär
R C7 Radikulopati,R Skulderbesvär,R Armvecksbesvär
L L5 Radikulopati,L Mediala knäledsbesvär,L Knäbesvär
L C6 Radikulopati,L Axelbesvär,L Tumbesvär
R S1 Radikulopati,Ryggsbesvär,R Lumbago
L L5 Radikulopati,L PFS,L Stortårbesvär
R L5 Radikulopati,R Tibiaperialgi,R Vadbesvär
R S1 Radikulopati,Ryggsbesvär,R Benbesvär
R S1 Radikulopati,R Lumbago,R Fotbesvär
L C4 Radikulopati,L Nackbesvär,L Skulderbesvär
L S1 Radikulopati,L Lårbesvär,Hälbesvär
L S1 Radikulopati,L Vadbesvär,L Laterala knäbesvär
L L3 Radikulopati,L Lumbago,L Lårbesvär
L S1 Radikulopati,L Laterala vadbesvär,L Bakre lårbesvär
R L2 Radikulopati,Centrala Ljumskbesvär,Ryggsbesvär
L S1 Radikulopati,L Lumbago,Hälbesvär
L S1 Radikulopati,L Knäbesvär,L Achillestendalgi
L C2 Radikulopati,Munbesvär,Svalgbesvär
R C2 Radikulopati,R Nackbesvär,R Käkbesvär
L S1 Radikulopati,L Lumbago,L Achillesbesvär
R L5 Radikulopati,R Benbesvär,R Ischias
R S1 Radikulopati,R Benbesvär,R Ischias
R L5 Radikulopati,R Benbesvär,R Tåledbesvär
R T7 Radikulopati,Bröstryggsbesvär,Torakal Dysfunktion
R S1 Radikulopati,R Skinkbesvär,R Hälbesvär
R S1 Radikulopati,R Lumbago,R Ischias
L L1 Radikulopati,L Laterala ljumskbesvär,Centrala Ljumskbesvär
R C3 Radikulopati,R Nackbesvär,Central bröstsmärta
L T3 Radikulopati,Bröstryggsbesvär,Torakal Dysfunktion
L C8 Radikulopati,L Axelbesvär,L Skulderbesvär
R S1 Radikulopati,R Vadbesvär,R Bakre lårbesvär
R S1 Radikulopati,R Dorsala knäledsbesvär,R Achillesbesvär
R C5 Radikulopati,Interskapulära besvär,R Laterala armbågsbesvär
R L5 Radikulopati,R Benbesvär,R Främre knäbesvär
R C6 Radikulopati,R Handledsbesvär,R Handbesvär
R L5 Radikulopati,R Lumbago,R Mediala knäledsbesvär
R S1 Radikulopati,R Adduktortendalgi,Hälbesvär
R S1 Radikulopati,R Achillesbesvär,R Achillestendalgi
R L4 Radikulopati,R Främre lårbesvär,R Benbesvär
R S1 Radikulopati,R Laterala knäbesvär,Hälbesvär
R S1 Radikulopati,R Skinkbesvär,R Laterala knäbesvär
R S1 Radikulopati,R Lårbesvär,R Vadbesvär
L T10 Radikulopati,Laterala bukbesvär,L Nedre bukbesvär
R L2 Radikulopati,Ryggsbesvär,R Lumbago
L C2 Radikulopati,L Nackbesvär,Pannhuvudvärk
R L4 Radikulopati,R Benbesvär,R Tibiaperialgi
R L5 Radikulopati,R Benbesvär,R Höftkamsbesvär
L L5 Radikulopati,L Mediala knäledsbesvär,L Fotbesvär
R S1 Radikulopati,R Lårbesvär,R Tårbesvär
R L5 Radikulopati,R Stortårbesvär,R Fotvalvsbesvär
L C4 Radikulopati,L Nyckelbensbesvär,L Skulderbesvär
R C6 Radikulopati,R Interskapulära besvär,R Armbesvär
R S1 Radikulopati,R Benbesvär,R Achillodyni
R S1 Radikulopati,R Skinkbesvär,R Laterala Fotbesvär
L L1 Radikulopati,L Ljumskbesvär,Laterala bukbesvär
L C3 Radikulopati,Nackbesvär,L Central bröstsmärta
R L5 Radikulopati,R Främre knäbesvär,R Fotvalvsbesvär
R S1 Radikulopati,Ryggsbesvär,R Laterala knäbesvär
L T8 Radikulopati,Bröstryggsbesvär,Övre bukbesvär
L S1 Radikulopati,L Knäbesvär,L Dorsala knäledsbesvär
R S1 Radikulopati,R Ischias,R Skinkbesvär
R C3 Radikulopati,R Nackbesvär,R Bakhuvudvärk
DLS L5-S1,L S1 Radikulopati,R S1 Radikulopati
R L5 Radikulopati,R Skinkbesvär,R Vadbesvär
R C6 Radikulopati,R Interskapulära besvär,R Tumbesvär
L C2 Radikulopati,Huvudvärk,Munbesvär
R S1 Radikulopati,R Lårbesvär,R Laterala knäbesvär
R L4 Radikulopati,R Höftbesvär,R Mediala knäledsbesvär
L T9 Radikulopati,L Nedre bukbesvär,Nedre bukbesvär
R L5 Radikulopati,Ryggsbesvär,R Höftbesvär
R S1 Radikulopati,R Adduktortendalgi,R Achillestendalgi
R C7 Radikulopati,R Nackbesvär,R Axelbesvär
R L5 Radikulopati,R Stortårbesvär,R Tåledbesvär
L T12 Radikulopati,Laterala bukbesvär,Nedre bukbesvär
R L5 Radikulopati,R Tibiaperialgi,R Skinkbesvär
R C3 Radikulopati,R Pannhuvudvärk,Bakhuvudvärk
L L2 Radikulopati,L Laterala ljumskbesvär,L Nedre bukbesvär
R S1 Radikulopati,R Laterala knäbesvär,R Achillesbesvär
L S1 Radikulopati,L Lumbago,L Achillestendalgi
L S1 Radikulopati,L Bakre lårbesvär,L Achillesbesvär
R S1 Radikulopati,R Lårbesvär,R Achillodyni
L L5 Radikulopati,L Laterala vadbesvär,L Ischias
R C6 Radikulopati,R Laterala armbågsbesvär,R Armvecksbesvär
L L4 Radikulopati,L Lumbago,L Främre lårbesvär
R S1 Radikulopati,R Dorsala knäledsbesvär,R Hälbesvär
L L2 Radikulopati,L Ljumskbesvär,Lumbago
R L5 Radikulopati,R PFS,R Skinkbesvär
L L5 Radikulopati,Lumbago,L Benbesvär
R C6 Radikulopati,R Nackbesvär,R Axelbesvär
L L5 Radikulopati,L PFS,L Fotbesvär
L T8 Radikulopati,Övre bukbesvär,Laterala bukbesvär
R S1 Radikulopati,R Tårbesvär,R Hälbesvär
R S1 Radikulopati,R Vadbesvär,Hälbesvär
R C7 Radikulopati,R Armvecksbesvär,R Mediala armbågsbesvär
L L5 Radikulopati,L Lumbago,L Höftkamsbesvär
R L5 Radikulopati,R PFS,R Fotbesvär
R C6 Radikulopati,R Skulderbesvär,R Under armsbesvär
L T11 Radikulopati,Laterala bukbesvär,Nedre bukbesvär
L S1 Radikulopati,L Skinkbesvär,L Vadbesvär
R T3 Radikulopati,Bröstryggsbesvär,R Bröstbesvär
R C8 Radikulopati,R Skulderbesvär,R Handbesvär
DLS T8-T9,L T9 Radikulopati,R T9 Radikulopati
L L4 Radikulopati,L Höftkamsbesvär,L Mediala knäledsbesvär
L T9 Radikulopati,Laterala bukbesvär,L Nedre bukbesvär
L L5 Radikulopati,L Lumbago,L Benbesvär
R C8 Radikulopati,R Handbesvär,R Lillfingerbesvär
R C4 Radikulopati,R Nackbesvär,R Axel impingement
L L4 Radikulopati,L PFS,L Laterala vadbesvär
L L2 Radikulopati,L Nedre bukbesvär,Nedre bukbesvär
R S1 Radikulopati,R Laterala knäbesvär,R Laterala Fotbesvär
R L2 Radikulopati,R Adduktortendalgi,R Lumbago
L L2 Radikulopati,Lumbago,Nedre bukbesvär
L L5 Radikulopati,L Lumbago,L Laterala vadbesvär
L L5 Radikulopati,L Laterala vadbesvär,L Vadbesvär
R C5 Radikulopati,R Axel impingement,R Axelbesvär
L C2 Radikulopati,Huvudvärk,Pannhuvudvärk
L L3 Radikulopati,L Främre lårbesvär,L Benbesvär
L T4 Radikulopati,Bröstryggsbesvär,L Bröstbesvär
R C6 Radikulopati,R Främre Axelbesvär,R Armvecksbesvär
R L5 Radikulopati,R Benbesvär,R Fotvalvsbesvär
L S1 Radikulopati,L Skinkbesvär,L Hälbesvär
R C7 Radikulopati,R Armbågsbesvär,R Under armsbesvär
R C4 Radikulopati,R Nyckelbensbesvär,R Skulderbesvär
R L5 Radikulopati,R Tibiaperialgi,R Stortårbesvär
R C2 Radikulopati,Munbesvär,Pannhuvudvärk
R L5 Radikulopati,R Höftkamsbesvär,R Fotbesvär
R S1 Radikulopati,R Lumbago,R Tårbesvär
L L2 Radikulopati,L Laterala ljumskbesvär,Laterala bukbesvär
L C2 Radikulopati,Nackbesvär,Svalgbesvär
R C3 Radikulopati,Munbesvär,Pannhuvudvärk
R C7 Radikulopati,R Nackbesvär,R Handledsbesvär
R C7 Radikulopati,R Handledsbesvär,R Handbesvär
R C3 Radikulopati,Nackbesvär,Pannhuvudvärk
R C5 Radikulopati,R Axel impingement,R Laterala armbågsbesvär
R S1 Radikulopati,R Lumbago,R Skinkbesvär
R C6 Radikulopati,R Axelbesvär,R Under armsbesvär
L C4 Radikulopati,L Axelbesvär,L Skulderbesvär
L L5 Radikulopati,L Lårbesvär,L Stortårbesvär
L C6 Radikulopati,Nackbesvär,L Handledsbesvär
R L4 Radikulopati,R PFS,R Främre lårbesvär
R L5 Radikulopati,R Höftkamsbesvär,R Fotledsbesvär
R L4 Radikulopati,R Mediala vadbesvär,R Höftbesvär
L L1 Radikulopati,L Laterala ljumskbesvär,L Adduktortendalgi
R S1 Radikulopati,R Lårbesvär,R Knäbesvär
L L2 Radikulopati,L Laterala ljumskbesvär,Nedre bukbesvär
R L3 Radikulopati,Ryggsbesvär,R Benbesvär
L L5 Radikulopati,L Laterala vadbesvär,L Tåledbesvär
R S1 Radikulopati,R Achillesbesvär,R Achillodyni
L L2 Radikulopati,L Adduktortendalgi,L Höftbesvär
R L2 Radikulopati,R Laterala ljumskbesvär,R Ljumskbesvär
L C4 Radikulopati,L Nackbesvär,L Axelbesvär
R S1 Radikulopati,R Dorsala knäledsbesvär,R Achillestendalgi
R S1 Radikulopati,R Laterala Fotbesvär,R Bakre lårbesvär
R S1 Radikulopati,R Adduktortendalgi,R Benbesvär
L L5 Radikulopati,L Höftkamsbesvär,L Skinkbesvär
R S1 Radikulopati,R Knäbesvär,R Ischias
R L2 Radikulopati,Centrala Ljumskbesvär,R Adduktortendalgi
L L5 Radikulopati,L Lårbesvär,L Vadbesvär
R S1 Radikulopati,R Knäbesvär,R Tårbesvär
R S1 Radikulopati,R Hälbesvär,Hälbesvär
R C6 Radikulopati,R Skulderbesvär,R Armbågsbesvär
L L5 Radikulopati,L Lårbesvär,L Fotbesvär
R L3 Radikulopati,Ryggsbesvär,R Lårbesvär
L L4 Radikulopati,L Mediala knäledsbesvär,L Knäbesvär
R L4 Radikulopati,Ryggsbesvär,R Främre lårbesvär
L C6 Radikulopati,Nackbesvär,L Laterala armbågsbesvär
R C2 Radikulopati,R Nackbesvär,Huvudvärk
R C2 Radikulopati,Nackbesvär,Huvudvärk
L S1 Radikulopati,L Ischias,L Achillestendalgi
L S1 Radikulopati,L Knäbesvär,L Lilltåbesvär
L C6 Radikulopati,L Skulderbesvär,Interskapulära besvär
Kraniocervikal ledskada,L C2 Radikulopati,R C3 Radikulopati
L L3 Radikulopati,L Höftbesvär,Lumbago
L L1 Radikulopati,L Mediala ljumskbesvär,L Laterala ljumskbesvär
L L5 Radikulopati,L Tåledbesvär,L Stortårbesvär
L L5 Radikulopati,Lumbago,L Fotledsbesvär
L S1 Radikulopati,L Lårbesvär,L Hälbesvär
L L5 Radikulopati,L Lårbesvär,L Tåledbesvär
R L5 Radikulopati,R Benbesvär,R Skinkbesvär
L C5 Radikulopati,Nackbesvär,L Skulderbesvär
R C3 Radikulopati,R Käkbesvär,Bakhuvudvärk
R C3 Radikulopati,Munbesvär,Central bröstsmärta
L S1 Radikulopati,L Lilltåbesvär,L Laterala Fotbesvär
L L5 Radikulopati,L Höftkamsbesvär,L Knäbesvär
R C5 Radikulopati,Interskapulära besvär,R Armbågsbesvär
R C8 Radikulopati,R Fingerbesvär,R Lillfingerbesvär
R C4 Radikulopati,R Axel impingement,R Skulderbesvär
L L4 Radikulopati,Lumbago,L Laterala vadbesvär
R S1 Radikulopati,R Knäbesvär,R Bakre lårbesvär
L C6 Radikulopati,L Interskapulära besvär,L Laterala armbågsbesvär
L L2 Radikulopati,L Ljumskbesvär,Nedre bukbesvär
R L5 Radikulopati,R Mediala knäledsbesvär,R Tåledbesvär
R L3 Radikulopati,R Främre lårbesvär,R Benbesvär
R L2 Radikulopati,Centrala Ljumskbesvär,R Lumbago
R C5 Radikulopati,R Främre Axelbesvär,R Skulderbesvär
R S1 Radikulopati,R Benbesvär,R Hälbesvär
L L5 Radikulopati,L Mediala knäledsbesvär,L Laterala vadbesvär
L L5 Radikulopati,L Fotbesvär,L Fotledsbesvär
R T1 Radikulopati,R Armbesvär,Bröstryggsbesvär
R C2 Radikulopati,R Ögonbesvär,R Pannhuvudvärk
R L4 Radikulopati,R Mediala vadbesvär,R Tibiaperialgi
DLS T5-T6,L T6 Radikulopati,R T6 Radikulopati
DLS L4-L5,L L5 Radikulopati,R L5 Radikulopati
R C6 Radikulopati,R Armbågsbesvär,R Handledsbesvär
R S1 Radikulopati,Ryggsbesvär,R Achillestendalgi
R L5 Radikulopati,R Knäbesvär,R Tåledbesvär
R L4 Radikulopati,R Mediala vadbesvär,R Knäbesvär
R C7 Radikulopati,Nackbesvär,R Mediala armbågsbesvär
R C6 Radikulopati,Nackbesvär,R Främre Axelbesvär
R L5 Radikulopati,R Fotledsbesvär,R Fotvalvsbesvär
R C3 Radikulopati,Bakhuvudvärk,Central bröstsmärta
R L4 Radikulopati,R Höftbesvär,R Tibiaperialgi
L S1 Radikulopati,L Lumbago,L Lilltåbesvär
R S1 Radikulopati,Ryggsbesvär,R Achillesbesvär
L S1 Radikulopati,L Dorsala knäledsbesvär,L Achillestendalgi
L L5 Radikulopati,L Fotvalvsbesvär,L Ischias
L L5 Radikulopati,L PFS,L Tåledbesvär
R L5 Radikulopati,R Mediala knäledsbesvär,R Fotledsbesvär
L L4 Radikulopati,L Lumbago,L PFS
R L5 Radikulopati,R Främre knäbesvär,R Knäbesvär
R C3 Radikulopati,R Nackbesvär,Svalgbesvär
R L5 Radikulopati,R Mediala knäledsbesvär,R Fotvalvsbesvär
R S1 Radikulopati,R Fotbesvär,R Tårbesvär
R L4 Radikulopati,R Främre lårbesvär,R Mediala knäledsbesvär
L S1 Radikulopati,L Laterala vadbesvär,L Dorsala knäledsbesvär
L S1 Radikulopati,L Vadbesvär,L Achillestendalgi
R C4 Radikulopati,Nackbesvär,R Nyckelbensbesvär
R S1 Radikulopati,R Laterala knäbesvär,R Hälbesvär
R C2 Radikulopati,Nackbesvär,R Ögonbesvär
R S1 Radikulopati,Ryggsbesvär,R Lårbesvär
L S1 Radikulopati,L Benbesvär,L Achillestendalgi
L S1 Radikulopati,L Knäbesvär,L Achillodyni
R L5 Radikulopati,Ryggsbesvär,R Fotbesvär
R C7 Radikulopati,R Handledsbesvär,R Under armsbesvär
R C6 Radikulopati,R Laterala armbågsbesvär,R Under armsbesvär
R T8 Radikulopati,Bröstryggsbesvär,Övre bukbesvär
R L5 Radikulopati,R Höftkamsbesvär,R Mediala knäledsbesvär
R C4 Radikulopati,R Nyckelbensbesvär,Central bröstsmärta
R L5 Radikulopati,R Lumbago,R Knäbesvär
R S1 Radikulopati,R Laterala Fotbesvär,R Achillodyni
R C8 Radikulopati,R Skulderbesvär,R Fingerbesvär
R C6 Radikulopati,R Interskapulära besvär,R Laterala armbågsbesvär
Kraniocervikal ledskada,R C3 Radikulopati,R C4 Radikulopati
L S1 Radikulopati,L Lumbago,L Laterala knäbesvär
R C6 Radikulopati,R Främre Axelbesvär,R Under armsbesvär
R S1 Radikulopati,R Lumbago,R Lårbesvär
R C5 Radikulopati,Nackbesvär,R Skulderbesvär
R C8 Radikulopati,R Under armsbesvär,R Fingerbesvär
R L5 Radikulopati,Ryggsbesvär,R Vadbesvär
R L4 Radikulopati,R Lumbago,R Höftkamsbesvär
R C7 Radikulopati,R Armbågsbesvär,R Handbesvär
R S1 Radikulopati,R Laterala knäbesvär,R Achillodyni
R C3 Radikulopati,R Nackbesvär,R Nyckelbensbesvär
R L5 Radikulopati,R Benbesvär,R Fotbesvär
R T1 Radikulopati,R Armvecksbesvär,Bröstryggsbesvär
R C2 Radikulopati,Nackbesvär,Munbesvär
L L5 Radikulopati,L Skinkbesvär,L Vadbesvär
R T5 Radikulopati,R Bröstbesvär,Torakal Dysfunktion
R L5 Radikulopati,R Lumbago,R Ischias
L L2 Radikulopati,L Laterala ljumskbesvär,L Adduktortendalgi
L C6 Radikulopati,L Axelbesvär,L Interskapulära besvär
L S1 Radikulopati,L Vadbesvär,L Achillesbesvär
R L4 Radikulopati,R Främre lårbesvär,R Mediala vadbesvär
L S1 Radikulopati,L Ischias,L Skinkbesvär
R S1 Radikulopati,R Adduktortendalgi,R Tårbesvär
R L5 Radikulopati,Ryggsbesvär,R Knäbesvär
R L4 Radikulopati,Ryggsbesvär,R Knäbesvär
R C5 Radikulopati,R Axelbesvär,R Armbågsbesvär
R C7 Radikulopati,R Armbågsbesvär,R Fingerbesvär
R C3 Radikulopati,Nackbesvär,R Pannhuvudvärk
R L4 Radikulopati,R Lårbesvär,R Höftkamsbesvär
R L4 Radikulopati,Ryggsbesvär,R Tibiaperialgi
R C2 Radikulopati,R Nackbesvär,Pannhuvudvärk
R C2 Radikulopati,R Ögonbesvär,Munbesvär
L L5 Radikulopati,L Benbesvär,L Stortårbesvär
L L5 Radikulopati,L Lårbesvär,L Fotvalvsbesvär
L S1 Radikulopati,L Lårbesvär,L Laterala vadbesvär
R C7 Radikulopati,R Skulderbesvär,R Handbesvär
L L2 Radikulopati,Centrala Ljumskbesvär,L Adduktortendalgi
R C8 Radikulopati,R Skulderbesvär,R Armbågsbesvär
L T12 Radikulopati,Laterala bukbesvär,Bukbesvär
R L5 Radikulopati,R Tåledbesvär,R Fotbesvär
L L5 Radikulopati,L Ischias,L Vadbesvär
R S1 Radikulopati,R Fotbesvär,Hälbesvär
R L1 Radikulopati,R Laterala ljumskbesvär,R Adduktortendalgi
L L2 Radikulopati,L Höftbesvär,Laterala bukbesvär
R L5 Radikulopati,R Tåledbesvär,R Skinkbesvär
L T7 Radikulopati,Övre bukbesvär,Bukbesvär
R L5 Radikulopati,R Höftbesvär,R Skinkbesvär
R L5 Radikulopati,R Höftkamsbesvär,R Fotvalvsbesvär
L S1 Radikulopati,L Dorsala knäledsbesvär,L Laterala Fotbesvär
L C4 Radikulopati,L Nyckelbensbesvär,L Axelbesvär
R S1 Radikulopati,R Lårbesvär,R Dorsala knäledsbesvär
R C6 Radikulopati,R Axel impingement,R Axelbesvär
R C6 Radikulopati,Nackbesvär,Interskapulära besvär
L S1 Radikulopati,Lumbago,L Skinkbesvär
L C4 Radikulopati,L Central bröstsmärta,L Skulderbesvär
R S1 Radikulopati,R Ischias,R Hälbesvär
L L5 Radikulopati,L Laterala vadbesvär,L Fotvalvsbesvär
R L4 Radikulopati,R PFS,R Mediala vadbesvär
R C5 Radikulopati,R Skulderbesvär,R Interskapulära besvär
R C6 Radikulopati,R Främre Axelbesvär,R Armbesvär
R C5 Radikulopati,R Axelbesvär,R Skulderbesvär
R C7 Radikulopati,R Axelbesvär,R Fingerbesvär
L L5 Radikulopati,L Fotledsbesvär,L Ischias
L C6 Radikulopati,L Skulderbesvär,L Handledsbesvär
R C8 Radikulopati,R Handbesvär,R Mediala armbågsbesvär
R C6 Radikulopati,R Laterala armbågsbesvär,R Tumbesvär
R C3 Radikulopati,R Bakhuvudvärk,R Nyckelbensbesvär
R C3 Radikulopati,Munbesvär,R Käkbesvär
L T7 Radikulopati,Bröstryggsbesvär,Torakal Dysfunktion
L L2 Radikulopati,L Ljumskbesvär,L Lumbago
R L5 Radikulopati,R PFS,R Vadbesvär
L S1 Radikulopati,L Benbesvär,L Hälbesvär
L C4 Radikulopati,Nackbesvär,L Nyckelbensbesvär
L S1 Radikulopati,L Benbesvär,L Lårbesvär
L C4 Radikulopati,L Central bröstsmärta,L Axelbesvär
L S1 Radikulopati,Hälbesvär,L Bakre lårbesvär
R L5 Radikulopati,R Höftbesvär,R Fotbesvär
L L3 Radikulopati,L Höftbesvär,L Lårbesvär
R S1 Radikulopati,R Hälbesvär,R Achillesbesvär
R L5 Radikulopati,Ryggsbesvär,R Fotvalvsbesvär
R C4 Radikulopati,Nackbesvär,R Axel impingement
R C7 Radikulopati,Nackbesvär,R Armvecksbesvär
R C5 Radikulopati,R Skulderbesvär,R Laterala armbågsbesvär
L C5 Radikulopati,Nackbesvär,L Interskapulära besvär
R S1 Radikulopati,R Adduktortendalgi,R Achillesbesvär
L L5 Radikulopati,L Tåledbesvär,L Ischias
R C7 Radikulopati,Nackbesvär,R Handledsbesvär
R C4 Radikulopati,Central bröstsmärta,R Axel impingement
L S1 Radikulopati,L Ischias,L Lilltåbesvär
L L5 Radikulopati,L Höftkamsbesvär,L Ischias
L C6 Radikulopati,L Nackbesvär,L Axelbesvär
L L4 Radikulopati,L Benbesvär,L Mediala knäledsbesvär
R S1 Radikulopati,R Benbesvär,R Bakre lårbesvär
L S1 Radikulopati,L Laterala Fotbesvär,L Achillestendalgi
R L4 Radikulopati,R PFS,Ryggsbesvär
L L2 Radikulopati,Centrala Ljumskbesvär,L Lumbago
R C6 Radikulopati,Interskapulära besvär,R Under armsbesvär
L S1 Radikulopati,L Knäbesvär,L Vadbesvär
R C6 Radikulopati,R Axel impingement,R Handledsbesvär
R L5 Radikulopati,R Fotvalvsbesvär,R Vadbesvär
L L5 Radikulopati,Lumbago,L Mediala knäledsbesvär
R C6 Radikulopati,R Axelbesvär,R Interskapulära besvär
R S1 Radikulopati,Ryggsbesvär,R Tårbesvär
R C3 Radikulopati,Pannhuvudvärk,Central bröstsmärta
